District,Type,2005,2010,2038,2050
01_01_EP_NW,Metropolitan,844.8262296,844.8262296,844.8262296,844.8262296
01_01_EP_NW,Rural,844.8262296,844.8262296,844.8262296,844.8262296
01_01_EP_NW,Town,844.8262296,844.8262296,844.8262296,844.8262296
01_21_EP_SE,Metropolitan,1898.813208,1898.813208,1898.813208,1898.813208
01_21_EP_SE,Rural,1898.813208,1898.813208,1898.813208,1898.813208
01_21_EP_SE,Town,1898.813208,1898.813208,1898.813208,1898.813208
02_02_WC_Ctr,Metropolitan,58.82301247,58.82301247,58.82301247,58.82301247
02_02_WC_Ctr,Rural,58.82301247,58.82301247,58.82301247,58.82301247
02_02_WC_Ctr,Town,58.82301247,58.82301247,58.82301247,58.82301247
02_22_WC_S,Metropolitan,173.2669292,173.2669292,173.2669292,173.2669292
02_22_WC_S,Rural,173.2669292,173.2669292,173.2669292,173.2669292
02_22_WC_S,Town,173.2669292,173.2669292,173.2669292,173.2669292
03_03_CP_W,Metropolitan,4230.35263,4230.35263,4230.35263,4230.35263
03_03_CP_W,Rural,4230.35263,4230.35263,4230.35263,4230.35263
03_03_CP_W,Town,4230.35263,4230.35263,4230.35263,4230.35263
03_13_CP_E,Metropolitan,1371.751024,1371.751024,1371.751024,1371.751024
03_13_CP_E,Rural,1371.751024,1371.751024,1371.751024,1371.751024
03_13_CP_E,Town,1371.751024,1371.751024,1371.751024,1371.751024
03_24_CP_N,Metropolitan,807.4570926,807.4570926,807.4570926,807.4570926
03_24_CP_N,Rural,807.4570926,807.4570926,807.4570926,807.4570926
03_24_CP_N,Town,807.4570926,807.4570926,807.4570926,807.4570926
03_25_CP_S,Metropolitan,744.293227,744.293227,744.293227,744.293227
03_25_CP_S,Rural,744.293227,744.293227,744.293227,744.293227
03_25_CP_S,Town,744.293227,744.293227,744.293227,744.293227
04_04_JACK,Metropolitan,16171.03042,16171.03042,16171.03042,16171.03042
04_04_JACK,Rural,16171.03042,16171.03042,16171.03042,16171.03042
04_04_JACK,Town,16171.03042,16171.03042,16171.03042,16171.03042
05_05_WMED_NE,Metropolitan,49.37579492,49.37579492,49.37579492,49.37579492
05_05_WMED_NE,Rural,49.37579492,49.37579492,49.37579492,49.37579492
05_05_WMED_NE,Town,49.37579492,49.37579492,49.37579492,49.37579492
05_14_WMED_SE,Metropolitan,2375.809997,2375.809997,2375.809997,2375.809997
05_14_WMED_SE,Rural,2375.809997,2375.809997,2375.809997,2375.809997
05_14_WMED_SE,Town,2375.809997,2375.809997,2375.809997,2375.809997
05_15_WMED_E,Metropolitan,7.510403631,7.510403631,7.510403631,7.510403631
05_15_WMED_E,Rural,7.510403631,7.510403631,7.510403631,7.510403631
05_15_WMED_E,Town,7.510403631,7.510403631,7.510403631,7.510403631
05_26_WMED_NW,Metropolitan,8343.116196,8343.116196,8343.116196,8343.116196
05_26_WMED_NW,Rural,8343.116196,8343.116196,8343.116196,8343.116196
05_26_WMED_NW,Town,8343.116196,8343.116196,8343.116196,8343.116196
05_27_WMED_Ctr,Metropolitan,404.7308315,404.7308315,404.7308315,404.7308315
05_27_WMED_Ctr,Rural,404.7308315,404.7308315,404.7308315,404.7308315
05_27_WMED_Ctr,Town,404.7308315,404.7308315,404.7308315,404.7308315
05_37_WMED_SW,Metropolitan,3755.504783,3755.504783,3755.504783,3755.504783
05_37_WMED_SW,Rural,3755.504783,3755.504783,3755.504783,3755.504783
05_37_WMED_SW,Town,3755.504783,3755.504783,3755.504783,3755.504783
05_38_WMED_ESE,Metropolitan,19.7121553,19.7121553,19.7121553,19.7121553
05_38_WMED_ESE,Rural,19.7121553,19.7121553,19.7121553,19.7121553
05_38_WMED_ESE,Town,19.7121553,19.7121553,19.7121553,19.7121553
06_06_EMED_NE,Metropolitan,23894.48703,23894.48703,23894.48703,23894.48703
06_06_EMED_NE,Rural,23894.48703,23894.48703,23894.48703,23894.48703
06_06_EMED_NE,Town,23894.48703,23894.48703,23894.48703,23894.48703
06_16_EMED_NW,Metropolitan,75.84635258,75.84635258,75.84635258,75.84635258
06_16_EMED_NW,Rural,75.84635258,75.84635258,75.84635258,75.84635258
06_16_EMED_NW,Town,75.84635258,75.84635258,75.84635258,75.84635258
06_17_EMED_SW,Metropolitan,4561.169051,4561.169051,4561.169051,4561.169051
06_17_EMED_SW,Rural,4561.169051,4561.169051,4561.169051,4561.169051
06_17_EMED_SW,Town,4561.169051,4561.169051,4561.169051,4561.169051
06_20_EMED_N,Metropolitan,5123.041427,5123.041427,5123.041427,5123.041427
06_20_EMED_N,Rural,5123.041427,5123.041427,5123.041427,5123.041427
06_20_EMED_N,Town,5123.041427,5123.041427,5123.041427,5123.041427
06_23_EMED_Ctr,Metropolitan,20470.45431,20470.45431,20470.45431,20470.45431
06_23_EMED_Ctr,Rural,20470.45431,20470.45431,20470.45431,20470.45431
06_23_EMED_Ctr,Town,20470.45431,20470.45431,20470.45431,20470.45431
06_28_EMED_SE,Metropolitan,59287.963,59287.963,59287.963,59287.963
06_28_EMED_SE,Rural,59287.963,59287.963,59287.963,59287.963
06_28_EMED_SE,Town,59287.963,59287.963,59287.963,59287.963
06_39_EMED_W,Metropolitan,3621.586879,3621.586879,3621.586879,3621.586879
06_39_EMED_W,Rural,3621.586879,3621.586879,3621.586879,3621.586879
06_39_EMED_W,Town,3621.586879,3621.586879,3621.586879,3621.586879
07_07_PHX_Ctr,Metropolitan,859.6148262,859.6148262,859.6148262,859.6148262
07_07_PHX_Ctr,Rural,859.6148262,859.6148262,859.6148262,859.6148262
07_07_PHX_Ctr,Town,859.6148262,859.6148262,859.6148262,859.6148262
07_29_PHX_W,Metropolitan,8316.472562,8316.472562,8316.472562,8316.472562
07_29_PHX_W,Rural,8316.472562,8316.472562,8316.472562,8316.472562
07_29_PHX_W,Town,8316.472562,8316.472562,8316.472562,8316.472562
07_30_PHX_E,Metropolitan,6954.299298,6954.299298,6954.299298,6954.299298
07_30_PHX_E,Rural,6954.299298,6954.299298,6954.299298,6954.299298
07_30_PHX_E,Town,6954.299298,6954.299298,6954.299298,6954.299298
08_08_TAL_Ctr,Metropolitan,491.8422819,491.8422819,491.8422819,491.8422819
08_08_TAL_Ctr,Rural,491.8422819,491.8422819,491.8422819,491.8422819
08_08_TAL_Ctr,Town,491.8422819,491.8422819,491.8422819,491.8422819
08_33_TAL_E,Metropolitan,8744.786607,8744.786607,8744.786607,8744.786607
08_33_TAL_E,Rural,8744.786607,8744.786607,8744.786607,8744.786607
08_33_TAL_E,Town,8744.786607,8744.786607,8744.786607,8744.786607
08_34_TAL_W,Metropolitan,9455.442608,9455.442608,9455.442608,9455.442608
08_34_TAL_W,Rural,9455.442608,9455.442608,9455.442608,9455.442608
08_34_TAL_W,Town,9455.442608,9455.442608,9455.442608,9455.442608
09_09_ASH_N,Metropolitan,23546.0424,23546.0424,23546.0424,23546.0424
09_09_ASH_N,Rural,23546.0424,23546.0424,23546.0424,23546.0424
09_09_ASH_N,Town,23546.0424,23546.0424,23546.0424,23546.0424
09_12_ASH_Ctr,Metropolitan,1465.629251,1465.629251,1465.629251,1465.629251
09_12_ASH_Ctr,Rural,1465.629251,1465.629251,1465.629251,1465.629251
09_12_ASH_Ctr,Town,1465.629251,1465.629251,1465.629251,1465.629251
09_19_ASH_SW,Metropolitan,19819.75109,19819.75109,19819.75109,19819.75109
09_19_ASH_SW,Rural,19819.75109,19819.75109,19819.75109,19819.75109
09_19_ASH_SW,Town,19819.75109,19819.75109,19819.75109,19819.75109
09_31_ASH_CtrE,Metropolitan,7704.583802,7704.583802,7704.583802,7704.583802
09_31_ASH_CtrE,Rural,7704.583802,7704.583802,7704.583802,7704.583802
09_31_ASH_CtrE,Town,7704.583802,7704.583802,7704.583802,7704.583802
09_35_ASH_E,Metropolitan,20609.26804,20609.26804,20609.26804,20609.26804
09_35_ASH_E,Rural,20609.26804,20609.26804,20609.26804,20609.26804
09_35_ASH_E,Town,20609.26804,20609.26804,20609.26804,20609.26804
09_36_ASH_NW,Metropolitan,10560.27766,10560.27766,10560.27766,10560.27766
09_36_ASH_NW,Rural,10560.27766,10560.27766,10560.27766,10560.27766
