Year,AutoPhevRange,AutoPropPhev,AutoMpkwh,AutoMpg,LtTruckPhevRange,LtTruckPropPhev,LtTruckMpkwh,LtTruckMpg
1975,0,0,3,0,0,0,2,0
1976,0,0,3,0,0,0,2,0
1977,0,0,3,0,0,0,2,0
1978,0,0,3,0,0,0,2,0
1979,0,0,3,0,0,0,2,0
1980,0,0,3,0,0,0,2,0
1981,0,0,3,0,0,0,2,0
1982,0,0,3,0,0,0,2,0
1983,0,0,3,0,0,0,2,0
1984,0,0,3,0,0,0,2,0
1985,0,0,3,0,0,0,2,0
1986,0,0,3,0,0,0,2,0
1987,0,0,3,0,0,0,2,0
1988,0,0,3,0,0,0,2,0
1989,0,0,3,0,0,0,2,0
1990,0,0,3,0,0,0,2,0
1991,0,0,3,0,0,0,2,0
1992,0,0,3,0,0,0,2,0
1993,0,0,3,0,0,0,2,0
1994,0,0,3,0,0,0,2,0
1995,0,0,3,0,0,0,2,0
1996,0,0,3,0,0,0,2,0
1997,0,0,3,0,0,0,2,0
1998,0,0,3,0,0,0,2,0
1999,0,0,3,0,0,0,2,0
2000,0,0,3,0,0,0,2,0
2001,0,0,3,0,0,0,2,0
2002,0,0,3,0,0,0,2,0
2003,0,0,3,0,0,0,2,0
2004,0,0,3,0,0,0,2,0
2005,0,0,3,0,0,0,2,0
2006,0,0,3,0,0,0,2,0
2007,0,0,3,0,0,0,2,0
2008,0,0,3,0,0,0,2,0
2009,0,0,3,56.6,0,0,2,41.7
2010,25,0,3,56.6,25,0,2,41.7
2011,25,0,3,57.98,25,0,2,43.08
2012,25,0,3,59.36,25,0,2,44.46
2013,25,0,3,60.74,25,0,2,45.84
2014,25,0.01,3,62.12,25,0,2,47.22
2015,25,0.02,3,68.8,25,0,2,48.6
2016,25,0.02,3,69.16,25,0.01,2,48.96
2017,25,0.02,3,69.52,25,0.01,2,49.32
2018,25,0.03,3,69.88,25,0.01,2,49.68
2019,25,0.04,3,70.24,25,0.01,2,50.04
2020,25,0.05,3,72,25,0.01,2,50.4
2021,30,0.06,3,72.36,30,0.02,2,50.76
2022,30,0.05,3,72.72,30,0.02,2,51.12
2023,30,0.05,3,73.08,30,0.01,2,51.48
2024,30,0.05,3,73.44,30,0.01,2,51.84
2025,30,0.05,3,75.2,30,0.01,2,52.2
2026,30,0.05,3.5,75.92,30,0.01,2,52.58
2027,30,0.05,3.5,76.64,30,0.02,2,52.96
2028,30,0.06,3.5,77.36,30,0.02,2,53.34
2029,30,0.06,3.5,78.08,30,0.02,2,53.72
2030,30,0.06,3.5,78.8,30,0.02,2,54.1
2031,35,0.07,3.5,79.34,35,0.02,2,54.44
2032,35,0.07,3.5,79.88,35,0.02,2,54.78
2033,35,0.07,3.5,80.42,35,0.02,2,55.12
2034,35,0.08,3.5,80.96,35,0.02,2,55.46
2035,35,0.08,3.5,81.5,35,0.02,2,55.8
2036,35,0.08,3.5,82.06,35,0.02,2,56.12
2037,35,0.08,3.5,82.62,35,0.02,2,56.44
2038,35,0.09,3.5,83.18,35,0.02,2,56.76
2039,35,0.09,3.5,83.74,35,0.03,2,57.08
2040,35,0.1,3.5,84.3,35,0.03,2,57.4
2041,40,0.1,3.5,84.86,40,0.03,2,57.7
2042,40,0.1,3.5,85.42,40,0.03,2,58
2043,40,0.11,3.5,85.98,40,0.03,2,58.3
2044,40,0.11,3.5,86.54,40,0.03,2,58.6
2045,40,0.12,3.5,87.1,40,0.03,2,58.9
2046,40,0.12,3.5,87.68,40,0.03,2,59.18
2047,40,0.13,3.5,88.26,40,0.04,2,59.46
2048,40,0.13,3.5,88.84,40,0.04,2,59.74
2049,40,0.14,3.5,89.42,40,0.04,2,60.02
2050,40,0.14,3.5,90,40,0.04,2,60.3
