"DevType","District","Weights"
"Metropolitan","01_01_EP_NW",1967.0902513882
"Town","01_01_EP_NW",1967.0902513882
"Rural","01_01_EP_NW",1967.0902513882
"Metropolitan","02_02_WC_Ctr",136.789699409563
"Town","02_02_WC_Ctr",136.789699409563
"Rural","02_02_WC_Ctr",136.789699409563
"Metropolitan","03_03_CP_W",10007.0931768098
"Town","03_03_CP_W",10007.0931768098
"Rural","03_03_CP_W",10007.0931768098
"Metropolitan","04_04_JACK",36644.1154209684
"Town","04_04_JACK",36644.1154209684
"Rural","04_04_JACK",36644.1154209684
"Metropolitan","05_05_WMED_NE",115.54405642591
"Town","05_05_WMED_NE",115.54405642591
"Rural","05_05_WMED_NE",115.54405642591
"Metropolitan","06_06_EMED_NE",51052.472415622
"Town","06_06_EMED_NE",51052.472415622
"Rural","06_06_EMED_NE",51052.472415622
"Metropolitan","07_07_PHX_Ctr",2022.64798855735
"Town","07_07_PHX_Ctr",2022.64798855735
"Rural","07_07_PHX_Ctr",2022.64798855735
"Metropolitan","08_08_TAL_Ctr",1071.3899385856
"Town","08_08_TAL_Ctr",1071.3899385856
"Rural","08_08_TAL_Ctr",1071.3899385856
"Metropolitan","09_09_ASH_N",52492.5202871258
"Town","09_09_ASH_N",52492.5202871258
"Rural","09_09_ASH_N",52492.5202871258
"Metropolitan","10_10_TOLO",5975.28956041675
"Town","10_10_TOLO",5975.28956041675
"Rural","10_10_TOLO",5975.28956041675
"Metropolitan","11_11_NMED_N",5047.42225449042
"Town","11_11_NMED_N",5047.42225449042
"Rural","11_11_NMED_N",5047.42225449042
"Metropolitan","09_12_ASH_Ctr",3288.98874318106
"Town","09_12_ASH_Ctr",3288.98874318106
"Rural","09_12_ASH_Ctr",3288.98874318106
"Metropolitan","03_13_CP_E",2833.53827075395
"Town","03_13_CP_E",2833.53827075395
"Rural","03_13_CP_E",2833.53827075395
"Metropolitan","05_14_WMED_SE",5760.07130330113
"Town","05_14_WMED_SE",5760.07130330113
"Rural","05_14_WMED_SE",5760.07130330113
