District,Type,A24,A5P,MH,SFA,SFD,GQ
01_01_EP_NW,Metropolitan,845,346,186,982,1275,0
01_01_EP_NW,Rural,16,8,67,12,191,0
01_01_EP_NW,Town,0,0,0,0,0,0
02_02_WC_Ctr,Metropolitan,167,107,756,313,1454,0
02_02_WC_Ctr,Rural,12,9,109,14,308,0
02_02_WC_Ctr,Town,0,0,0,0,0,0
03_03_CP_W,Metropolitan,396,377,101,399,2811,0
03_03_CP_W,Rural,17,8,95,8,214,0
03_03_CP_W,Town,0,0,0,0,0,0
04_04_JACK,Metropolitan,195,118,232,80,953,0
04_04_JACK,Rural,39,21,142,28,745,0
04_04_JACK,Town,0,0,0,0,0,0
05_05_WMED_NE,Metropolitan,225,662,274,334,1113,0
05_05_WMED_NE,Rural,0,0,0,0,0,0
05_05_WMED_NE,Town,0,0,0,0,0,0
06_06_EMED_NE,Metropolitan,253,95,0,95,4242,0
06_06_EMED_NE,Rural,27,14,49,14,231,0
06_06_EMED_NE,Town,0,0,0,0,0,0
07_07_PHX_Ctr,Metropolitan,383,586,1252,178,1392,0
07_07_PHX_Ctr,Rural,0,0,31,0,178,0
07_07_PHX_Ctr,Town,0,0,0,0,0,0
08_08_TAL_Ctr,Metropolitan,323,639,509,407,2001,0
08_08_TAL_Ctr,Rural,32,16,63,17,190,0
08_08_TAL_Ctr,Town,0,0,0,0,0,0
09_09_ASH_N,Metropolitan,67,169,57,583,1332,0
09_09_ASH_N,Rural,0,1,6,0,46,0
09_09_ASH_N,Town,0,0,0,0,0,0
10_10_TOLO,Metropolitan,0,0,1,0,1,0
10_10_TOLO,Rural,2,1,187,1,176,0
10_10_TOLO,Town,0,0,0,0,0,0
11_11_NMED_N,Metropolitan,967,738,27,651,2737,0
11_11_NMED_N,Rural,4,2,2,2,10,0
11_11_NMED_N,Town,0,0,0,0,0,0
09_12_ASH_Ctr,Metropolitan,619,581,4,273,1178,1993
09_12_ASH_Ctr,Rural,3,3,1,0,3,0
09_12_ASH_Ctr,Town,0,0,0,0,0,0
03_13_CP_E,Metropolitan,388,142,152,192,1652,0
03_13_CP_E,Rural,2,1,154,6,317,0
03_13_CP_E,Town,0,0,0,0,0,0
05_14_WMED_SE,Metropolitan,313,233,264,663,1850,0
05_14_WMED_SE,Rural,2,1,3,1,23,0
05_14_WMED_SE,Town,0,0,0,0,0,0
05_15_WMED_E,Metropolitan,382,389,95,258,937,0
05_15_WMED_E,Rural,0,0,0,0,0,0
05_15_WMED_E,Town,0,0,0,0,0,0
06_16_EMED_NW,Metropolitan,550,1337,0,350,1371,0
06_16_EMED_NW,Rural,0,0,0,0,0,0
06_16_EMED_NW,Town,0,0,0,0,0,0
06_17_EMED_SW,Metropolitan,423,925,1,361,1574,0
06_17_EMED_SW,Rural,0,0,0,0,0,0
06_17_EMED_SW,Town,0,0,0,0,0,0
11_18_NMED_SW,Metropolitan,393,653,1,159,812,0
11_18_NMED_SW,Rural,0,0,0,0,0,0
11_18_NMED_SW,Town,0,0,0,0,0,0
09_19_ASH_SW,Metropolitan,150,220,6,470,1658,0
09_19_ASH_SW,Rural,2,2,4,0,55,0
09_19_ASH_SW,Town,0,0,0,0,0,0
06_20_EMED_N,Metropolitan,156,83,0,51,3156,0
06_20_EMED_N,Rural,0,0,0,0,0,0
06_20_EMED_N,Town,0,0,0,0,0,0
01_21_EP_SE,Metropolitan,531,253,212,704,1645,0
01_21_EP_SE,Rural,75,41,59,37,313,0
01_21_EP_SE,Town,0,0,0,0,0,0
02_22_WC_S,Metropolitan,0,1,209,29,594,0
02_22_WC_S,Rural,2,1,246,4,235,0
02_22_WC_S,Town,0,0,0,0,0,0
06_23_EMED_Ctr,Metropolitan,0,155,0,93,1201,0
06_23_EMED_Ctr,Rural,0,0,0,0,0,0
06_23_EMED_Ctr,Town,0,0,0,0,0,0
03_24_CP_N,Metropolitan,209,193,21,104,1211,0
03_24_CP_N,Rural,0,0,1,1,26,0
03_24_CP_N,Town,0,0,0,0,0,0
03_25_CP_S,Metropolitan,146,97,153,227,1663,0
03_25_CP_S,Rural,0,0,0,0,0,0
03_25_CP_S,Town,0,0,0,0,0,0
05_26_WMED_NW,Metropolitan,82,108,128,299,1160,0
05_26_WMED_NW,Rural,30,52,123,9,594,0
05_26_WMED_NW,Town,0,0,0,0,0,0
05_27_WMED_Ctr,Metropolitan,126,125,262,233,1272,0
05_27_WMED_Ctr,Rural,0,0,0,0,0,0
05_27_WMED_Ctr,Town,0,0,0,0,0,0
06_28_EMED_SE,Metropolitan,976,626,2,565,4119,0
06_28_EMED_SE,Rural,8,19,2,14,60,0
06_28_EMED_SE,Town,0,0,0,0,0,0
07_29_PHX_W,Metropolitan,0,0,0,0,0,0
07_29_PHX_W,Rural,0,0,42,0,347,0
07_29_PHX_W,Town,0,0,0,0,0,0
07_30_PHX_E,Metropolitan,8,0,4,0,326,0
07_30_PHX_E,Rural,5,1,7,1,118,0
07_30_PHX_E,Town,0,0,0,0,0,0
09_31_ASH_CtrE,Metropolitan,339,440,181,515,1736,7
09_31_ASH_CtrE,Rural,0,2,0,0,7,0
09_31_ASH_CtrE,Town,0,0,0,0,0,0
11_32_NMED_SE,Metropolitan,77,105,0,34,1752,0
11_32_NMED_SE,Rural,0,0,0,0,0,0
11_32_NMED_SE,Town,0,0,0,0,0,0
08_33_TAL_E,Metropolitan,0,0,0,0,0,0
08_33_TAL_E,Rural,4,0,47,0,224,0
08_33_TAL_E,Town,0,0,0,0,0,0
08_34_TAL_W,Metropolitan,0,0,0,0,0,0
08_34_TAL_W,Rural,17,3,38,3,309,0
08_34_TAL_W,Town,0,0,0,0,0,0
09_35_ASH_E,Metropolitan,0,0,5,0,106,0
09_35_ASH_E,Rural,0,0,93,0,408,0
09_35_ASH_E,Town,0,0,0,0,0,0
09_36_ASH_NW,Metropolitan,290,381,44,341,1238,0
09_36_ASH_NW,Rural,11,5,9,10,203,0
09_36_ASH_NW,Town,0,0,0,0,0,0
05_37_WMED_SW,Metropolitan,43,55,308,704,1659,0
05_37_WMED_SW,Rural,0,0,24,5,311,0
05_37_WMED_SW,Town,0,0,0,0,0,0
05_38_WMED_ESE,Metropolitan,298,155,10,202,1176,0
05_38_WMED_ESE,Rural,0,0,0,0,0,0
05_38_WMED_ESE,Town,0,0,0,0,0,0
06_39_EMED_W,Metropolitan,168,418,51,111,1593,0
06_39_EMED_W,Rural,0,0,0,0,0,0
06_39_EMED_W,Town,0,0,0,0,0,0
