District,TotHh,TotHhPop,HhPerCapInc
1,221,615,53317
2,557,1625,51837
3,1474,4116,53792
4,812,2627,50131
5,610,2110,52438
6,1,6,8079
7,666,1596,53506
8,360,935,42116
9,154,452,38137
10,43,112,59313
11,119,317,57648
12,39,116,61470
13,655,2120,46104
14,12,20,49553
15,27,73,46985
16,199,544,39910
17,371,1163,52978
18,199,596,54016
19,223,646,42338
20,63,172,51895
21,158,490,43499
22,190,582,44947
23,26,79,37089
24,30,48,89316
25,104,287,33862
26,487,1649,45742
27,278,884,51182
28,163,472,62196
29,21,45,59198
30,507,1520,48313
31,181,541,45809
32,450,1255,48451
33,139,357,38409
34,238,671,59452
35,261,759,59382
36,291,870,49558
37,25,78,63052
38,449,1462,53914
39,449,1343,60583
40,294,741,54112
41,730,1756,31741
42,5,22,9910
43,9,40,10896
44,53,103,70520
45,529,1308,53725
46,81,119,75504
47,3,5,115633
48,836,2138,50875
49,64,186,47270
50,292,739,56238
51,87,200,60793
52,867,2583,46472
53,1168,2888,37603
54,8,9,11805
55,677,1599,39973
56,374,884,37202
57,24,39,39287
58,419,784,29236
59,10,10,30000
60,4,6,28501
61,567,1427,26506
62,487,1268,26727
63,232,490,28998
64,2,10,1132
65,2,10,2296
66,1,4,2424
67,1,4,2424
68,268,497,38400
69,7,14,29692
70,158,305,41213
71,666,1085,45984
72,68,121,50725
73,656,1267,28511
74,10,10,30000
75,920,1842,39603
76,10,10,30000
77,1452,2956,43102
78,10,10,30000
79,123,254,48624
80,10,10,30000
81,586,1009,49136
82,1745,3021,51318
83,674,1595,51941
84,1594,2470,79317
85,1,4,77069
86,4,10,19767
87,345,618,69457
88,750,1929,56966
89,1330,3844,54766
90,1348,3878,48238
91,962,2409,44374
92,1004,3196,42721
93,1290,4641,46615
94,2350,7383,45724
95,517,1168,60577
96,3,19,29506
97,1156,3830,47068
98,761,2637,45581
99,79,293,52817
100,978,3239,46350
101,1476,4509,56433
102,220,524,61216
103,1307,3157,50054
104,1332,3947,43487
105,584,1790,48479
106,939,2969,53573
107,1354,3698,52361
108,317,663,51675
109,496,1362,53119
110,418,1250,51154
111,1010,2999,42372
112,647,1938,41836
113,709,1999,44473
114,1032,2578,45993
115,857,2854,44942
116,328,1296,47463
117,856,2442,58084
118,1,6,47
119,64,83,56425
120,1,4,77069
121,1549,4072,53503
122,317,1094,43343
123,740,1773,43972
124,2006,4158,44717
125,68,120,51334
126,1532,4367,25511
127,750,2610,21378
128,548,1666,22927
129,10,10,30000
130,317,560,30908
131,685,1869,25343
132,170,386,27387
133,2,14,1696
134,10,10,30000
135,451,1210,48619
136,77,228,44854
137,743,2124,46417
138,904,2036,49241
139,311,850,48898
140,92,244,46542
141,509,1198,53668
142,462,1169,51909
143,649,1242,53853
144,84,90,47060
145,645,1441,40703
146,850,1802,52175
147,1022,2879,51917
148,394,1052,43752
149,297,808,48980
150,1627,3838,58671
151,11,18,67867
