District,Type,A24,A5P,MH,SFA,SFD,GQ
1,Metropolitan,0,52,0,15,154,0
1,Rural,0,0,0,0,0,0
1,Town,0,0,0,0,0,0
2,Metropolitan,0,96,0,36,425,0
2,Rural,0,0,0,0,0,0
2,Town,0,0,0,0,0,0
3,Metropolitan,1,219,2,157,1095,0
3,Rural,0,0,0,0,0,0
3,Town,0,0,0,0,0,0
4,Metropolitan,0,110,0,45,657,0
4,Rural,0,0,0,0,0,0
4,Town,0,0,0,0,0,0
5,Metropolitan,0,68,0,36,506,0
5,Rural,0,0,0,0,0,0
5,Town,0,0,0,0,0,0
6,Metropolitan,0,0,0,0,10,0
6,Rural,0,0,0,0,0,0
6,Town,0,0,0,0,0,0
7,Metropolitan,0,138,1,58,469,0
7,Rural,0,0,0,0,0,0
7,Town,0,0,0,0,0,0
8,Metropolitan,0,110,0,37,213,0
8,Rural,0,0,0,0,0,0
8,Town,0,0,0,0,0,0
9,Metropolitan,0,46,0,14,94,0
9,Rural,0,0,0,0,0,0
9,Town,0,0,0,0,0,0
10,Metropolitan,0,0,0,0,0,0
10,Rural,0,10,0,2,31,0
10,Town,0,0,0,0,0,0
11,Metropolitan,0,0,0,0,0,0
11,Rural,0,29,0,11,79,0
11,Town,0,0,0,0,0,0
12,Metropolitan,0,0,0,0,0,0
12,Rural,0,10,0,2,27,0
12,Town,0,0,0,0,0,0
13,Metropolitan,0,104,1,43,507,0
13,Rural,0,0,0,0,0,0
13,Town,0,0,0,0,0,0
14,Metropolitan,0,5,0,2,5,0
14,Rural,0,0,0,0,0,0
14,Town,0,0,0,0,0,0
15,Metropolitan,0,9,0,2,16,0
15,Rural,0,0,0,0,0,0
15,Town,0,0,0,0,0,0
16,Metropolitan,0,0,0,0,0,0
16,Rural,0,57,0,21,121,0
16,Town,0,0,0,0,0,0
17,Metropolitan,0,0,0,0,0,0
17,Rural,0,62,0,25,284,0
17,Town,0,0,0,0,0,0
18,Metropolitan,0,0,0,0,0,0
18,Rural,0,42,0,14,143,0
18,Town,0,0,0,0,0,0
19,Metropolitan,0,0,0,0,0,0
19,Rural,0,53,0,16,154,0
19,Town,0,0,0,0,0,0
20,Metropolitan,0,0,0,0,0,0
20,Rural,0,18,0,4,41,0
20,Town,0,0,0,0,0,0
21,Metropolitan,0,0,0,0,0,0
21,Rural,0,39,0,14,105,0
21,Town,0,0,0,0,0,0
22,Metropolitan,0,0,0,0,0,0
22,Rural,0,43,0,15,132,0
22,Town,0,0,0,0,0,0
23,Metropolitan,0,0,0,0,0,0
23,Rural,0,11,0,1,14,0
23,Town,0,0,0,0,0,0
24,Metropolitan,0,0,0,0,0,0
24,Rural,0,9,0,5,16,0
24,Town,0,0,0,0,0,0
25,Metropolitan,0,0,0,0,0,0
25,Rural,0,38,0,14,52,0
25,Town,0,0,0,0,0,0
26,Metropolitan,0,77,0,34,376,0
26,Rural,0,0,0,0,0,0
26,Town,0,0,0,0,0,0
27,Metropolitan,0,0,0,0,0,0
27,Rural,0,56,0,15,207,0
27,Town,0,0,0,0,0,0
28,Metropolitan,0,0,0,0,0,0
28,Rural,0,30,0,12,121,0
28,Town,0,0,0,0,0,0
29,Metropolitan,0,0,0,0,0,0
29,Rural,0,8,0,3,10,0
29,Town,0,0,0,0,0,0
30,Metropolitan,0,0,0,0,0,0
30,Rural,0,105,0,37,365,0
30,Town,0,0,0,0,0,0
31,Metropolitan,0,0,0,0,0,0
31,Rural,0,42,0,17,122,0
31,Town,0,0,0,0,0,0
32,Metropolitan,0,0,0,0,0,0
32,Rural,0,91,0,39,320,0
32,Town,0,0,0,0,0,0
33,Metropolitan,0,0,0,0,0,0
33,Rural,0,38,0,16,85,0
33,Town,0,0,0,0,0,0
34,Metropolitan,0,0,0,0,0,0
34,Rural,0,45,0,17,176,0
34,Town,0,0,0,0,0,0
35,Metropolitan,0,44,0,17,200,0
35,Rural,0,0,0,0,0,0
35,Town,0,0,0,0,0,0
36,Metropolitan,0,0,0,0,0,0
36,Rural,0,61,0,19,211,0
36,Town,0,0,0,0,0,0
37,Metropolitan,0,0,0,0,0,0
37,Rural,0,5,0,2,18,0
37,Town,0,0,0,0,0,0
38,Metropolitan,0,60,0,28,361,0
38,Rural,0,0,0,0,0,0
38,Town,0,0,0,0,0,0
39,Metropolitan,0,62,0,29,358,0
39,Rural,0,0,0,0,0,0
39,Town,0,0,0,0,0,0
40,Metropolitan,0,0,0,0,0,0
40,Rural,0,82,0,24,188,0
40,Town,0,0,0,0,0,0
41,Metropolitan,0,220,2,89,419,0
41,Rural,0,0,0,0,0,0
41,Town,0,0,0,0,0,0
42,Metropolitan,0,2,0,0,10,0
42,Rural,0,0,0,0,0,0
42,Town,0,0,0,0,0,0
43,Metropolitan,0,2,0,0,10,0
43,Rural,0,0,0,0,0,0
43,Town,0,0,0,0,0,0
44,Metropolitan,0,18,0,5,30,0
44,Rural,0,0,0,0,0,0
44,Town,0,0,0,0,0,0
45,Metropolitan,1,126,0,53,349,0
45,Rural,0,0,0,0,0,0
45,Town,0,0,0,0,0,0
46,Metropolitan,0,38,0,10,33,0
46,Rural,0,0,0,0,0,0
46,Town,0,0,0,0,0,0
