District,Type,A24,A5P,MH,SFA,SFD,GQ
1,Metropolitan,4,47,0,19,241,0
1,Rural,0,0,0,0,0,0
1,Town,0,0,0,0,0,0
2,Metropolitan,7,100,0,45,559,0
2,Rural,0,0,0,0,0,0
2,Town,0,0,0,0,0,0
3,Metropolitan,20,236,3,152,1283,0
3,Rural,0,0,0,0,0,0
3,Town,0,0,0,0,0,0
4,Metropolitan,7,110,0,50,747,0
4,Rural,0,0,0,0,0,0
4,Town,0,0,0,0,0,0
5,Metropolitan,3,59,0,30,640,0
5,Rural,0,0,0,0,0,0
5,Town,0,0,0,0,0,0
6,Metropolitan,0,1,0,1,20,0
6,Rural,0,0,0,0,0,0
6,Town,0,0,0,0,0,0
7,Metropolitan,10,144,1,71,582,0
7,Rural,0,0,0,0,0,0
7,Town,0,0,0,0,0,0
8,Metropolitan,14,118,0,42,300,0
8,Rural,0,0,0,0,0,0
8,Town,0,0,0,0,0,0
9,Metropolitan,8,61,0,20,168,0
9,Rural,0,0,0,0,0,0
9,Town,0,0,0,0,0,0
10,Metropolitan,0,10,0,5,42,0
10,Rural,0,0,0,0,0,0
10,Town,0,0,0,0,0,0
11,Metropolitan,1,21,0,10,115,0
11,Rural,0,0,0,0,0,0
11,Town,0,0,0,0,0,0
12,Metropolitan,0,0,0,0,20,0
12,Rural,1,9,0,4,38,0
12,Town,0,0,0,0,0,0
13,Metropolitan,11,122,1,62,784,0
13,Rural,0,0,0,0,0,0
13,Town,0,0,0,0,0,0
14,Metropolitan,1,7,0,3,11,0
14,Rural,0,0,0,0,0,0
14,Town,0,0,0,0,0,0
15,Metropolitan,1,9,0,3,28,0
15,Rural,0,0,0,0,0,0
15,Town,0,0,0,0,0,0
16,Metropolitan,0,0,0,0,20,0
16,Rural,6,66,0,27,222,0
16,Town,0,0,0,0,0,0
17,Metropolitan,0,0,0,0,20,0
17,Rural,4,62,0,22,338,0
17,Town,0,0,0,0,0,0
18,Metropolitan,0,0,0,0,20,0
18,Rural,4,44,0,13,203,0
18,Town,0,0,0,0,0,0
19,Metropolitan,0,0,0,0,20,0
19,Rural,1,44,0,17,208,0
19,Town,0,0,0,0,0,0
20,Metropolitan,0,0,0,0,20,0
20,Rural,1,19,0,4,63,0
20,Town,0,0,0,0,0,0
21,Metropolitan,0,0,0,0,20,0
21,Rural,2,35,0,13,140,0
21,Town,0,0,0,0,0,0
