District,Type,2005,2015,2038,2050
1,Metropolitan,2.269430109,2.269430109,2.269430109,2.269430109
1,Rural,2.269430109,2.269430109,2.269430109,2.269430109
1,Town,2.269430109,2.269430109,2.269430109,2.269430109
2,Metropolitan,2.975508271,2.975508271,2.975508271,2.975508271
2,Rural,2.975508271,2.975508271,2.975508271,2.975508271
2,Town,2.975508271,2.975508271,2.975508271,2.975508271
3,Metropolitan,2.8232192,2.8232192,2.8232192,2.8232192
3,Rural,2.8232192,2.8232192,2.8232192,2.8232192
3,Town,2.8232192,2.8232192,2.8232192,2.8232192
4,Metropolitan,5.708597183,5.708597183,5.708597183,5.708597183
4,Rural,5.708597183,5.708597183,5.708597183,5.708597183
4,Town,5.708597183,5.708597183,5.708597183,5.708597183
5,Metropolitan,10.24464171,10.24464171,10.24464171,10.24464171
5,Rural,10.24464171,10.24464171,10.24464171,10.24464171
5,Town,10.24464171,10.24464171,10.24464171,10.24464171
6,Metropolitan,7.20E-29,7.20E-29,7.20E-29,7.20E-29
6,Rural,7.20E-29,7.20E-29,7.20E-29,7.20E-29
6,Town,7.20E-29,7.20E-29,7.20E-29,7.20E-29
7,Metropolitan,1.085965862,1.085965862,1.085965862,1.085965862
7,Rural,1.085965862,1.085965862,1.085965862,1.085965862
7,Town,1.085965862,1.085965862,1.085965862,1.085965862
8,Metropolitan,0.582960432,0.582960432,0.582960432,0.582960432
8,Rural,0.582960432,0.582960432,0.582960432,0.582960432
8,Town,0.582960432,0.582960432,0.582960432,0.582960432
9,Metropolitan,0.087589636,0.087589636,0.087589636,0.087589636
9,Rural,0.087589636,0.087589636,0.087589636,0.087589636
9,Town,0.087589636,0.087589636,0.087589636,0.087589636
10,Metropolitan,1.078500433,1.078500433,1.078500433,1.078500433
10,Rural,1.078500433,1.078500433,1.078500433,1.078500433
10,Town,1.078500433,1.078500433,1.078500433,1.078500433
11,Metropolitan,2.89318438,2.89318438,2.89318438,2.89318438
11,Rural,2.89318438,2.89318438,2.89318438,2.89318438
11,Town,2.89318438,2.89318438,2.89318438,2.89318438
12,Metropolitan,2.346843948,2.346843948,2.346843948,2.346843948
12,Rural,2.346843948,2.346843948,2.346843948,2.346843948
12,Town,2.346843948,2.346843948,2.346843948,2.346843948
13,Metropolitan,3.921832029,3.921832029,3.921832029,3.921832029
13,Rural,3.921832029,3.921832029,3.921832029,3.921832029
13,Town,3.921832029,3.921832029,3.921832029,3.921832029
14,Metropolitan,0.091379496,0.091379496,0.091379496,0.091379496
14,Rural,0.091379496,0.091379496,0.091379496,0.091379496
14,Town,0.091379496,0.091379496,0.091379496,0.091379496
15,Metropolitan,0.202079709,0.202079709,0.202079709,0.202079709
15,Rural,0.202079709,0.202079709,0.202079709,0.202079709
15,Town,0.202079709,0.202079709,0.202079709,0.202079709
16,Metropolitan,0.087499369,0.087499369,0.087499369,0.087499369
16,Rural,0.087499369,0.087499369,0.087499369,0.087499369
16,Town,0.087499369,0.087499369,0.087499369,0.087499369
17,Metropolitan,6.169725356,6.169725356,6.169725356,6.169725356
17,Rural,6.169725356,6.169725356,6.169725356,6.169725356
17,Town,6.169725356,6.169725356,6.169725356,6.169725356
18,Metropolitan,4.370321765,4.370321765,4.370321765,4.370321765
18,Rural,4.370321765,4.370321765,4.370321765,4.370321765
18,Town,4.370321765,4.370321765,4.370321765,4.370321765
19,Metropolitan,1.114250397,1.114250397,1.114250397,1.114250397
19,Rural,1.114250397,1.114250397,1.114250397,1.114250397
19,Town,1.114250397,1.114250397,1.114250397,1.114250397
20,Metropolitan,0.142931073,0.142931073,0.142931073,0.142931073
20,Rural,0.142931073,0.142931073,0.142931073,0.142931073
20,Town,0.142931073,0.142931073,0.142931073,0.142931073
21,Metropolitan,1.890630755,1.890630755,1.890630755,1.890630755
21,Rural,1.890630755,1.890630755,1.890630755,1.890630755
21,Town,1.890630755,1.890630755,1.890630755,1.890630755
22,Metropolitan,2.378010458,2.378010458,2.378010458,2.378010458
22,Rural,2.378010458,2.378010458,2.378010458,2.378010458
22,Town,2.378010458,2.378010458,2.378010458,2.378010458
23,Metropolitan,0.094160315,0.094160315,0.094160315,0.094160315
23,Rural,0.094160315,0.094160315,0.094160315,0.094160315
23,Town,0.094160315,0.094160315,0.094160315,0.094160315
24,Metropolitan,1.035871711,1.035871711,1.035871711,1.035871711
24,Rural,1.035871711,1.035871711,1.035871711,1.035871711
24,Town,1.035871711,1.035871711,1.035871711,1.035871711
25,Metropolitan,0.044669626,0.044669626,0.044669626,0.044669626
25,Rural,0.044669626,0.044669626,0.044669626,0.044669626
25,Town,0.044669626,0.044669626,0.044669626,0.044669626
26,Metropolitan,4.884610329,4.884610329,4.884610329,4.884610329
26,Rural,4.884610329,4.884610329,4.884610329,4.884610329
26,Town,4.884610329,4.884610329,4.884610329,4.884610329
27,Metropolitan,5.622998996,5.622998996,5.622998996,5.622998996
27,Rural,5.622998996,5.622998996,5.622998996,5.622998996
27,Town,5.622998996,5.622998996,5.622998996,5.622998996
28,Metropolitan,6.617363202,6.617363202,6.617363202,6.617363202
28,Rural,6.617363202,6.617363202,6.617363202,6.617363202
28,Town,6.617363202,6.617363202,6.617363202,6.617363202
29,Metropolitan,0.268587437,0.268587437,0.268587437,0.268587437
29,Rural,0.268587437,0.268587437,0.268587437,0.268587437
29,Town,0.268587437,0.268587437,0.268587437,0.268587437
30,Metropolitan,2.81310561,2.81310561,2.81310561,2.81310561
30,Rural,2.81310561,2.81310561,2.81310561,2.81310561
30,Town,2.81310561,2.81310561,2.81310561,2.81310561
31,Metropolitan,0.370240691,0.370240691,0.370240691,0.370240691
31,Rural,0.370240691,0.370240691,0.370240691,0.370240691
31,Town,0.370240691,0.370240691,0.370240691,0.370240691
32,Metropolitan,1.946243554,1.946243554,1.946243554,1.946243554
32,Rural,1.946243554,1.946243554,1.946243554,1.946243554
32,Town,1.946243554,1.946243554,1.946243554,1.946243554
33,Metropolitan,0.103186022,0.103186022,0.103186022,0.103186022
33,Rural,0.103186022,0.103186022,0.103186022,0.103186022
33,Town,0.103186022,0.103186022,0.103186022,0.103186022
34,Metropolitan,4.355050479,4.355050479,4.355050479,4.355050479
34,Rural,4.355050479,4.355050479,4.355050479,4.355050479
34,Town,4.355050479,4.355050479,4.355050479,4.355050479
35,Metropolitan,5.421724542,5.421724542,5.421724542,5.421724542
35,Rural,5.421724542,5.421724542,5.421724542,5.421724542
35,Town,5.421724542,5.421724542,5.421724542,5.421724542
36,Metropolitan,2.806408484,2.806408484,2.806408484,2.806408484
36,Rural,2.806408484,2.806408484,2.806408484,2.806408484
36,Town,2.806408484,2.806408484,2.806408484,2.806408484
37,Metropolitan,3.50644323,3.50644323,3.50644323,3.50644323
37,Rural,3.50644323,3.50644323,3.50644323,3.50644323
37,Town,3.50644323,3.50644323,3.50644323,3.50644323
38,Metropolitan,8.026455379,8.026455379,8.026455379,8.026455379
38,Rural,8.026455379,8.026455379,8.026455379,8.026455379
38,Town,8.026455379,8.026455379,8.026455379,8.026455379
39,Metropolitan,6.603401201,6.603401201,6.603401201,6.603401201
39,Rural,6.603401201,6.603401201,6.603401201,6.603401201
39,Town,6.603401201,6.603401201,6.603401201,6.603401201
40,Metropolitan,1.059140654,1.059140654,1.059140654,1.059140654
40,Rural,1.059140654,1.059140654,1.059140654,1.059140654
40,Town,1.059140654,1.059140654,1.059140654,1.059140654
41,Metropolitan,0.028540848,0.028540848,0.028540848,0.028540848
41,Rural,0.028540848,0.028540848,0.028540848,0.028540848
41,Town,0.028540848,0.028540848,0.028540848,0.028540848
42,Metropolitan,4.03E-25,4.03E-25,4.03E-25,4.03E-25
42,Rural,4.03E-25,4.03E-25,4.03E-25,4.03E-25
42,Town,4.03E-25,4.03E-25,4.03E-25,4.03E-25
43,Metropolitan,9.05E-22,9.05E-22,9.05E-22,9.05E-22
