District,Type,2005,2015,2038,2050
1,Metropolitan,154.9427287,154.9427287,154.9427287,154.9427287
1,Rural,0,0,0,0
1,Town,0,0,0,0
2,Metropolitan,517.993608,517.993608,517.993608,517.993608
2,Rural,0,0,0,0
2,Town,0,0,0,0
3,Metropolitan,2145.745777,2145.745777,2145.745777,2145.745777
3,Rural,0,0,0,0
3,Town,0,0,0,0
4,Metropolitan,683.3168504,683.3168504,683.3168504,683.3168504
4,Rural,0,0,0,0
4,Town,0,0,0,0
5,Metropolitan,359.1241569,359.1241569,359.1241569,359.1241569
5,Rural,0,0,0,0
5,Town,0,0,0,0
6,Metropolitan,20.73521536,20.73521536,20.73521536,20.73521536
6,Rural,0,0,0,0
6,Town,0,0,0,0
7,Metropolitan,434.4758173,434.4758173,434.4758173,434.4758173
7,Rural,0,0,0,0
7,Town,0,0,0,0
8,Metropolitan,495.5336264,495.5336264,495.5336264,495.5336264
8,Rural,0,0,0,0
8,Town,0,0,0,0
9,Metropolitan,178.8459475,178.8459475,178.8459475,178.8459475
9,Rural,0,0,0,0
9,Town,0,0,0,0
10,Metropolitan,0,0,0,0
10,Rural,431.1976686,431.1976686,431.1976686,431.1976686
10,Town,0,0,0,0
11,Metropolitan,0,0,0,0
11,Rural,236.7134231,236.7134231,236.7134231,236.7134231
11,Town,0,0,0,0
12,Metropolitan,0,0,0,0
12,Rural,197.696419,197.696419,197.696419,197.696419
12,Town,0,0,0,0
13,Metropolitan,1085.472759,1085.472759,1085.472759,1085.472759
13,Rural,0,0,0,0
13,Town,0,0,0,0
14,Metropolitan,50.43384317,50.43384317,50.43384317,50.43384317
14,Rural,0,0,0,0
14,Town,0,0,0,0
15,Metropolitan,122.7069604,122.7069604,122.7069604,122.7069604
15,Rural,0,0,0,0
15,Town,0,0,0,0
16,Metropolitan,0,0,0,0
16,Rural,1132.792157,1132.792157,1132.792157,1132.792157
16,Town,0,0,0,0
17,Metropolitan,0,0,0,0
17,Rural,1042.312979,1042.312979,1042.312979,1042.312979
17,Town,0,0,0,0
18,Metropolitan,0,0,0,0
18,Rural,830.8504437,830.8504437,830.8504437,830.8504437
18,Town,0,0,0,0
19,Metropolitan,0,0,0,0
19,Rural,756.6141503,756.6141503,756.6141503,756.6141503
19,Town,0,0,0,0
20,Metropolitan,0,0,0,0
20,Rural,681.7617746,681.7617746,681.7617746,681.7617746
20,Town,0,0,0,0
21,Metropolitan,0,0,0,0
21,Rural,513.9916206,513.9916206,513.9916206,513.9916206
21,Town,0,0,0,0
22,Metropolitan,0,0,0,0
22,Rural,1425.734981,1425.734981,1425.734981,1425.734981
22,Town,0,0,0,0
23,Metropolitan,0,0,0,0
23,Rural,414.6637249,414.6637249,414.6637249,414.6637249
23,Town,0,0,0,0
24,Metropolitan,0,0,0,0
24,Rural,359.1204313,359.1204313,359.1204313,359.1204313
24,Town,0,0,0,0
25,Metropolitan,0,0,0,0
25,Rural,835.0964186,835.0964186,835.0964186,835.0964186
25,Town,0,0,0,0
26,Metropolitan,1532.412272,1532.412272,1532.412272,1532.412272
26,Rural,0,0,0,0
26,Town,0,0,0,0
27,Metropolitan,0,0,0,0
27,Rural,943.8919509,943.8919509,943.8919509,943.8919509
27,Town,0,0,0,0
28,Metropolitan,0,0,0,0
28,Rural,571.3291189,571.3291189,571.3291189,571.3291189
28,Town,0,0,0,0
29,Metropolitan,0,0,0,0
29,Rural,121.3600657,121.3600657,121.3600657,121.3600657
29,Town,0,0,0,0
30,Metropolitan,0,0,0,0
30,Rural,1971.747533,1971.747533,1971.747533,1971.747533
30,Town,0,0,0,0
31,Metropolitan,0,0,0,0
31,Rural,719.2343175,719.2343175,719.2343175,719.2343175
31,Town,0,0,0,0
32,Metropolitan,0,0,0,0
32,Rural,1407.981171,1407.981171,1407.981171,1407.981171
32,Town,0,0,0,0
33,Metropolitan,0,0,0,0
33,Rural,973.2110068,973.2110068,973.2110068,973.2110068
33,Town,0,0,0,0
34,Metropolitan,0,0,0,0
34,Rural,753.9849834,753.9849834,753.9849834,753.9849834
34,Town,0,0,0,0
35,Metropolitan,690.8830547,690.8830547,690.8830547,690.8830547
35,Rural,0,0,0,0
35,Town,0,0,0,0
36,Metropolitan,0,0,0,0
36,Rural,833.680301,833.680301,833.680301,833.680301
36,Town,0,0,0,0
37,Metropolitan,0,0,0,0
37,Rural,209.4892552,209.4892552,209.4892552,209.4892552
37,Town,0,0,0,0
38,Metropolitan,406.9736213,406.9736213,406.9736213,406.9736213
38,Rural,0,0,0,0
38,Town,0,0,0,0
39,Metropolitan,615.0452004,615.0452004,615.0452004,615.0452004
39,Rural,0,0,0,0
39,Town,0,0,0,0
40,Metropolitan,0,0,0,0
40,Rural,665.6136433,665.6136433,665.6136433,665.6136433
40,Town,0,0,0,0
41,Metropolitan,462.8094029,462.8094029,462.8094029,462.8094029
41,Rural,0,0,0,0
41,Town,0,0,0,0
42,Metropolitan,62.21406814,62.21406814,62.21406814,62.21406814
42,Rural,0,0,0,0
42,Town,0,0,0,0
43,Metropolitan,71.14048529,71.14048529,71.14048529,71.14048529
43,Rural,0,0,0,0
43,Town,0,0,0,0
44,Metropolitan,382.5514273,382.5514273,382.5514273,382.5514273
44,Rural,0,0,0,0
44,Town,0,0,0,0
45,Metropolitan,494.1864199,494.1864199,494.1864199,494.1864199
45,Rural,0,0,0,0
45,Town,0,0,0,0
46,Metropolitan,50.72121146,50.72121146,50.72121146,50.72121146
46,Rural,0,0,0,0
46,Town,0,0,0,0
47,Metropolitan,29.56154713,29.56154713,29.56154713,29.56154713
47,Rural,0,0,0,0
47,Town,0,0,0,0
48,Metropolitan,765.3390557,765.3390557,765.3390557,765.3390557
48,Rural,0,0,0,0
48,Town,0,0,0,0
49,Metropolitan,0,0,0,0
49,Rural,296.4157745,296.4157745,296.4157745,296.4157745
49,Town,0,0,0,0
50,Metropolitan,0,0,0,0
50,Rural,807.578037,807.578037,807.578037,807.578037
50,Town,0,0,0,0
51,Metropolitan,0,0,0,0
51,Rural,380.8584894,380.8584894,380.8584894,380.8584894
51,Town,0,0,0,0
52,Metropolitan,743.0141147,743.0141147,743.0141147,743.0141147
52,Rural,0,0,0,0
52,Town,0,0,0,0
53,Metropolitan,423.9193157,423.9193157,423.9193157,423.9193157
53,Rural,0,0,0,0
53,Town,0,0,0,0
54,Metropolitan,190.4551142,190.4551142,190.4551142,190.4551142
54,Rural,0,0,0,0
54,Town,0,0,0,0
55,Metropolitan,346.67786,346.67786,346.67786,346.67786
55,Rural,0,0,0,0
55,Town,0,0,0,0
56,Metropolitan,216.7918328,216.7918328,216.7918328,216.7918328
56,Rural,0,0,0,0
56,Town,0,0,0,0
57,Metropolitan,47.83368735,47.83368735,47.83368735,47.83368735
57,Rural,0,0,0,0
57,Town,0,0,0,0
58,Metropolitan,455.1881106,455.1881106,455.1881106,455.1881106
58,Rural,0,0,0,0
58,Town,0,0,0,0
59,Metropolitan,135.6280777,135.6280777,135.6280777,135.6280777
59,Rural,0,0,0,0
59,Town,0,0,0,0
60,Metropolitan,129.3559865,129.3559865,129.3559865,129.3559865
60,Rural,0,0,0,0
60,Town,0,0,0,0
61,Metropolitan,516.3454892,516.3454892,516.3454892,516.3454892
61,Rural,0,0,0,0
61,Town,0,0,0,0
62,Metropolitan,279.3589651,279.3589651,279.3589651,279.3589651
62,Rural,0,0,0,0
62,Town,0,0,0,0
63,Metropolitan,284.3056823,284.3056823,284.3056823,284.3056823
63,Rural,0,0,0,0
63,Town,0,0,0,0
64,Metropolitan,143.5190543,143.5190543,143.5190543,143.5190543
64,Rural,0,0,0,0
64,Town,0,0,0,0
65,Metropolitan,53.90211173,53.90211173,53.90211173,53.90211173
65,Rural,0,0,0,0
65,Town,0,0,0,0
66,Metropolitan,100.0038642,100.0038642,100.0038642,100.0038642
66,Rural,0,0,0,0
66,Town,0,0,0,0
67,Metropolitan,111.5230843,111.5230843,111.5230843,111.5230843
67,Rural,0,0,0,0
67,Town,0,0,0,0
68,Metropolitan,243.6478686,243.6478686,243.6478686,243.6478686
68,Rural,0,0,0,0
68,Town,0,0,0,0
69,Metropolitan,250.5827155,250.5827155,250.5827155,250.5827155
69,Rural,0,0,0,0
69,Town,0,0,0,0
70,Metropolitan,327.6969177,327.6969177,327.6969177,327.6969177
70,Rural,0,0,0,0
70,Town,0,0,0,0
71,Metropolitan,193.5138158,193.5138158,193.5138158,193.5138158
71,Rural,0,0,0,0
71,Town,0,0,0,0
72,Metropolitan,102.5764002,102.5764002,102.5764002,102.5764002
72,Rural,0,0,0,0
72,Town,0,0,0,0
73,Metropolitan,234.5694991,234.5694991,234.5694991,234.5694991
73,Rural,0,0,0,0
73,Town,0,0,0,0
74,Metropolitan,27.45819628,27.45819628,27.45819628,27.45819628
74,Rural,0,0,0,0
74,Town,0,0,0,0
75,Metropolitan,345.4816637,345.4816637,345.4816637,345.4816637
75,Rural,0,0,0,0
75,Town,0,0,0,0
76,Metropolitan,186.1615491,186.1615491,186.1615491,186.1615491
76,Rural,0,0,0,0
76,Town,0,0,0,0
77,Metropolitan,605.3223544,605.3223544,605.3223544,605.3223544
77,Rural,0,0,0,0
77,Town,0,0,0,0
78,Metropolitan,57.1202719,57.1202719,57.1202719,57.1202719
78,Rural,0,0,0,0
78,Town,0,0,0,0
79,Metropolitan,114.6088712,114.6088712,114.6088712,114.6088712
79,Rural,0,0,0,0
79,Town,0,0,0,0
80,Metropolitan,161.6652067,161.6652067,161.6652067,161.6652067
80,Rural,0,0,0,0
80,Town,0,0,0,0
81,Metropolitan,104.4588684,104.4588684,104.4588684,104.4588684
81,Rural,0,0,0,0
81,Town,0,0,0,0
82,Metropolitan,420.3995468,420.3995468,420.3995468,420.3995468
82,Rural,0,0,0,0
82,Town,0,0,0,0
83,Metropolitan,338.6265127,338.6265127,338.6265127,338.6265127
83,Rural,0,0,0,0
83,Town,0,0,0,0
84,Metropolitan,298.9363833,298.9363833,298.9363833,298.9363833
84,Rural,0,0,0,0
84,Town,0,0,0,0
85,Metropolitan,377.4261081,377.4261081,377.4261081,377.4261081
85,Rural,0,0,0,0
85,Town,0,0,0,0
86,Metropolitan,210.8227521,210.8227521,210.8227521,210.8227521
86,Rural,0,0,0,0
86,Town,0,0,0,0
87,Metropolitan,579.6929138,579.6929138,579.6929138,579.6929138
87,Rural,0,0,0,0
87,Town,0,0,0,0
