Division,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
D1,0,0,0,0,0,0
D2,0,0,0,0,0,0
D3,0,0,0,0,0,0
D4,0,0,0,0,0,0
D5,0,0,0,0,0,0
D6,0,0,0,0,0,0
D7,0,0,0,0,0,0
D8,0,0,0,0,0,0
D9,0,0,0,0,0,0
D10,0,0,0,0,0,0
D11,0,0,0,0,0,0
D12,0,0,0,0,0,0
D15,0,0,0,0,0,0
D16,0,0,0,0,0,0
D17,0,0,0,0,0,0
D18,0,0,0,0,0,0
D21,0,0,0,0,0,0
D22,0,0,0,0,0,0
D23,0,0,0,0,0,0
D24,0,0,0,0,0,0
D31,0,0,0,0,0,0
D32,0,0,0,0,0,0
D33,0,0,0,0,0,0
D34,0,0,0,0,0,0
D35,0,0,0,0,0,0
D36,0,0,0,0,0,0
D41,0,0,0,0,0,0
D43,0,0,0,0,0,0
D44,0,0,0,0,0,0
D45,0,0,0,0,0,0
D46,0,0,0,0,0,0
D47,0,0,0,0,0,0
D48,0,0,0,0,0,0
D49,0,0,0,0,0,0
D51,0,0,0,0,0,0
D52,0,0,0,0,0,0
D61,0,0,0,0,0,0
D62,0,0,0,0,0,0
D71,0,0,0,0,0,0
D72,0,0,0,0,0,0
D73,0,0,0,0,0,0
D74,0,0,0,0,0,0
D75,0,0,0,0,0,0
D76,0,0,0,0,0,0
D81,0,0,0,0,0,0
D82,0,0,0,0,0,0
D83,0,0,0,0,0,0
D91,0,0,0,0,0,0
D92,0,0,0,0,0,0
D101,0,0,0,0,0,0
D102,0,0,0,0,0,0
D111,0,0,0,0,0,0
D112,0,0,0,0,0,0
D113,0,0,0,0,0,0
D114,0,0,0,0,0,0
D121,0,0,0,0,0,0
D122,0,0,0,0,0,0
D123,0,0,0,0,0,0
D124,0,0,0,0,0,0
D131,0,0,0,0,0,0
D132,0,0,0,0,0,0
D133,0,0,0,0,0,0
D134,0,0,0,0,0,0
D141,0,0,0,0,0,0
D142,0,0,0,0,0,0
D143,0,0,0,0,0,0
D151,0,0,0,0,0,0
D152,0,0,0,0,0,0
D153,0,0,0,0,0,0
D163,0,0,0,0,0,0
D164,0,0,0,0,0,0
D171,0,0,0,0,0,0
D172,0,0,0,0,0,0
D173,0,0,0,0,0,0
D181,0,0,0,0,0,0
D182,0,0,0,0,0,0
D191,0,0,0,0,0,0
D192,0,0,0,0,0,0
