Parameter,2005,2015,2035,2038,2050,CostDataYear
FuelCost,2.12,2.43,5.53,5.738,6.57,2015
KwhCost,0.073,0.08,0.204,0.2082,0.225,2015
VmtTax,0,0,0,0,0,2015
CarbonTax,0,0,0,0,0,2015
GasTax,0.424,0.424,0.484,0.484,0.484,2015
AirPollution,0.014,0.014,0.014,0.014,0.014,2015
OtherResource,0.003,0.003,0.003,0.003,0.003,2015
ClimateChange,30,30,55,58,70,2015
EnergySecurity,0.45,0.45,0.45,0.45,0.45,2015
Safety,0.005,0.005,0.005,0.005,0.005,2015
Noise,0.001,0.001,0.001,0.001,0.001,2015
BaseMod,0.004,0.004,0.004,0.004,0.004,2015
PresOpMaint,0.01,0.01,0.01,0.01,0.01,2015
OtherRoad,0.015,0.015,0.015,0.015,0.015,2015
VehMaint,0.041,0.041,0.041,0.041,0.041,2015
VehTire,0.007,0.007,0.007,0.007,0.007,2015
VehFin,725,725,725,725,725,2015
VehIns,740,740,740,740,740,2015
VehReg,39,39,39,39,39,2015
FwyLnMi,4900,4900,4900,4900,4900,2015
ArtLnMi,1800,1800,1800,1800,1800,2015
PropExtPaid,0,0,0,0,0,2015
