District,OwnRatio-2005,OwnRatio-2015,OwnRatio-2038,OwnRatio-2050,Threshold-2005,Threshold-2015,Threshold-2038,Threshold-2050,PropSuitable-2005,PropSuitable-2015,PropSuitable-2038,PropSuitable-2050
1,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
2,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
3,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
4,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
5,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
6,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
7,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
8,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
9,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
10,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
11,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
12,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
13,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
14,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
15,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
16,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
17,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
18,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
19,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
20,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
21,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
22,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
23,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
24,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
25,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
26,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
27,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
28,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
29,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
30,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
31,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
32,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
33,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
34,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
35,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
36,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
37,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
38,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
39,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
40,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
41,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
42,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
43,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
44,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
45,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
46,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
47,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
48,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
49,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
50,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
51,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
52,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
53,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
54,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
55,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
56,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
57,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
58,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
59,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
60,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
61,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
62,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
63,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
64,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
65,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
66,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
67,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
68,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
69,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
70,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
71,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
72,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
73,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
74,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
75,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
76,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
77,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
78,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
79,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
80,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
81,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
82,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
83,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
84,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
85,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
86,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
87,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
88,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
89,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
90,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
91,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
92,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
93,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
94,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
95,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
96,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
97,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
98,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
99,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
100,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
101,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
102,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
103,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
104,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
105,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
106,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
107,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
108,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
109,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
110,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
111,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
112,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
113,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
114,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
115,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
116,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
117,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
118,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
119,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
120,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
121,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
122,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
123,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
124,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
125,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
126,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
127,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
128,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
129,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
130,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
131,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
132,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
133,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
134,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
135,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
