Value,Area,2005,2015,2038,2050,CostDataYear
PkgCost,D1,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D10,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D101,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D102,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D11,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D111,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D112,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D113,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D114,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D12,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D121,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D122,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D123,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D124,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D131,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D132,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D133,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D134,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D141,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D142,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D143,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D15,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D151,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D152,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D153,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D16,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D163,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D164,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D17,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D171,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D172,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D173,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D18,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D181,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D182,2.345557492,2.345557492,5.228949822,5.228949822,2015
