District,Type,A24,A5P,MH,SFA,SFD,GQ
01_01_EP_NW,Metropolitan,102,49,134,242,968,0
01_01_EP_NW,Rural,3,1,69,9,260,0
01_01_EP_NW,Town,0,0,0,0,0,0
02_02_WC_Ctr,Metropolitan,59,9,663,58,893,0
02_02_WC_Ctr,Rural,8,10,111,6,137,0
02_02_WC_Ctr,Town,0,0,0,0,0,0
03_03_CP_W,Metropolitan,17,145,53,101,1196,0
03_03_CP_W,Rural,0,0,127,0,395,0
03_03_CP_W,Town,0,0,0,0,0,0
04_04_JACK,Metropolitan,17,37,188,0,618,0
04_04_JACK,Rural,0,3,151,10,964,0
04_04_JACK,Town,0,0,0,0,0,0
05_05_WMED_NE,Metropolitan,243,572,258,103,1111,0
05_05_WMED_NE,Rural,0,0,0,0,0,0
05_05_WMED_NE,Town,0,0,0,0,0,0
06_06_EMED_NE,Metropolitan,0,0,0,0,0,0
06_06_EMED_NE,Rural,0,0,48,0,988,0
06_06_EMED_NE,Town,0,0,0,0,0,0
07_07_PHX_Ctr,Metropolitan,337,346,1222,84,803,0
07_07_PHX_Ctr,Rural,0,0,11,0,233,0
07_07_PHX_Ctr,Town,0,0,0,0,0,0
08_08_TAL_Ctr,Metropolitan,301,256,514,173,1416,0
08_08_TAL_Ctr,Rural,23,13,57,9,231,0
08_08_TAL_Ctr,Town,0,0,0,0,0,0
09_09_ASH_N,Metropolitan,58,147,54,78,1174,0
09_09_ASH_N,Rural,0,1,5,0,49,0
09_09_ASH_N,Town,0,0,0,0,0,0
10_10_TOLO,Metropolitan,0,0,0,0,1,0
10_10_TOLO,Rural,0,0,147,0,267,0
10_10_TOLO,Town,0,0,0,0,0,0
11_11_NMED_N,Metropolitan,263,148,13,112,746,0
11_11_NMED_N,Rural,67,38,7,29,184,0
11_11_NMED_N,Town,0,0,0,0,0,0
09_12_ASH_Ctr,Metropolitan,436,498,0,183,1234,773
09_12_ASH_Ctr,Rural,5,5,0,0,8,0
09_12_ASH_Ctr,Town,0,0,0,0,0,0
03_13_CP_E,Metropolitan,3,0,103,17,483,0
03_13_CP_E,Rural,1,0,200,10,490,0
03_13_CP_E,Town,0,0,0,0,0,0
05_14_WMED_SE,Metropolitan,22,14,214,40,1262,0
05_14_WMED_SE,Rural,0,0,5,3,88,0
05_14_WMED_SE,Town,0,0,0,0,0,0
05_15_WMED_E,Metropolitan,401,403,84,221,990,0
05_15_WMED_E,Rural,0,0,0,0,0,0
05_15_WMED_E,Town,0,0,0,0,0,0
06_16_EMED_NW,Metropolitan,607,1360,0,198,1269,0
06_16_EMED_NW,Rural,0,0,0,0,0,0
06_16_EMED_NW,Town,0,0,0,0,0,0
06_17_EMED_SW,Metropolitan,304,932,0,355,1042,0
06_17_EMED_SW,Rural,1,4,0,3,2,0
06_17_EMED_SW,Town,0,0,0,0,0,0
11_18_NMED_SW,Metropolitan,423,644,0,135,773,0
11_18_NMED_SW,Rural,0,0,0,0,0,0
11_18_NMED_SW,Town,0,0,0,0,0,0
09_19_ASH_SW,Metropolitan,137,199,6,66,1718,0
09_19_ASH_SW,Rural,3,2,3,0,70,0
09_19_ASH_SW,Town,0,0,0,0,0,0
06_20_EMED_N,Metropolitan,75,70,0,51,2314,0
06_20_EMED_N,Rural,0,0,0,0,0,0
06_20_EMED_N,Town,0,0,0,0,0,0
01_21_EP_SE,Metropolitan,49,63,149,35,691,0
01_21_EP_SE,Rural,19,26,89,15,332,0
01_21_EP_SE,Town,0,0,0,0,0,0
02_22_WC_S,Metropolitan,0,0,162,6,216,0
02_22_WC_S,Rural,0,0,217,3,451,0
02_22_WC_S,Town,0,0,0,0,0,0
06_23_EMED_Ctr,Metropolitan,0,178,0,84,1042,0
06_23_EMED_Ctr,Rural,0,0,0,0,0,0
06_23_EMED_Ctr,Town,0,0,0,0,0,0
03_24_CP_N,Metropolitan,143,126,17,76,1025,0
03_24_CP_N,Rural,0,0,0,1,36,0
03_24_CP_N,Town,0,0,0,0,0,0
03_25_CP_S,Metropolitan,145,88,147,211,1575,0
03_25_CP_S,Rural,0,0,0,0,0,0
03_25_CP_S,Town,0,0,0,0,0,0
05_26_WMED_NW,Metropolitan,74,81,115,26,509,0
05_26_WMED_NW,Rural,34,72,138,10,767,0
05_26_WMED_NW,Town,0,0,0,0,0,0
05_27_WMED_Ctr,Metropolitan,128,104,239,25,891,0
05_27_WMED_Ctr,Rural,0,0,0,0,0,0
05_27_WMED_Ctr,Town,0,0,0,0,0,0
06_28_EMED_SE,Metropolitan,0,0,0,0,0,0
06_28_EMED_SE,Rural,13,67,8,61,698,0
06_28_EMED_SE,Town,0,0,0,0,0,0
07_29_PHX_W,Metropolitan,0,0,0,0,0,0
07_29_PHX_W,Rural,0,0,36,0,468,0
07_29_PHX_W,Town,0,0,0,0,0,0
07_30_PHX_E,Metropolitan,9,0,5,0,196,0
07_30_PHX_E,Rural,5,1,8,1,148,0
07_30_PHX_E,Town,0,0,0,0,0,0
09_31_ASH_CtrE,Metropolitan,91,428,176,261,981,3
09_31_ASH_CtrE,Rural,0,2,0,1,9,0
09_31_ASH_CtrE,Town,0,0,0,0,0,0
11_32_NMED_SE,Metropolitan,81,90,0,35,1373,0
11_32_NMED_SE,Rural,0,0,0,0,0,0
11_32_NMED_SE,Town,0,0,0,0,0,0
08_33_TAL_E,Metropolitan,0,0,0,0,0,0
08_33_TAL_E,Rural,6,0,44,0,308,0
08_33_TAL_E,Town,0,0,0,0,0,0
08_34_TAL_W,Metropolitan,0,0,0,0,0,0
08_34_TAL_W,Rural,15,0,36,1,405,0
08_34_TAL_W,Town,0,0,0,0,0,0
09_35_ASH_E,Metropolitan,0,0,0,0,0,0
09_35_ASH_E,Rural,0,0,96,0,567,0
09_35_ASH_E,Town,0,0,0,0,0,0
09_36_ASH_NW,Metropolitan,237,211,54,195,869,0
09_36_ASH_NW,Rural,13,4,10,6,174,0
09_36_ASH_NW,Town,0,0,0,0,0,0
05_37_WMED_SW,Metropolitan,9,0,305,155,1325,0
05_37_WMED_SW,Rural,0,0,25,0,407,0
05_37_WMED_SW,Town,0,0,0,0,0,0
05_38_WMED_ESE,Metropolitan,313,159,9,184,1275,0
05_38_WMED_ESE,Rural,0,0,0,0,0,0
05_38_WMED_ESE,Town,0,0,0,0,0,0
