Year,Auto,LtTruck
1975,15.1,12.7
1976,16.6,13.2
1977,17.4,14.1
1978,19.2,13.7
1979,19.3,13.1
1980,22.6,17.1
1981,24.2,18.6
1982,25.6,19
1983,25.4,19.6
1984,26,19.3
1985,26.7,19.4
1986,27.7,20.2
1987,27.8,20.5
1988,28.3,20.2
1989,27.9,19.8
1990,27.5,19.8
1991,27.6,20.3
1992,27.5,19.9
1993,27.8,20.1
1994,27.7,19.7
1995,28.1,19.5
1996,28,19.9
1997,28,19.5
1998,28,19.8
1999,27.5,19.2
2000,27.3,19.4
2001,27.5,19.1
2002,27.4,19.1
2003,27.5,19.3
2004,27.6,19.2
2005,27.9,19.8
2006,27.7,20.2
2007,27.7,20.4
2008,30.9,23.3
2009,27.9,20
2010,29.2,20.9
2011,31.48,21.82
2012,33.76,22.74
2013,36.04,23.66
2014,38.32,24.58
2015,40.6,25.5
2016,42.88,27.2
2017,45.16,28.9
2018,47.44,30.6
2019,49.72,32.3
2020,52,34
2021,53.6,35.42
2022,55.2,36.84
2023,56.8,38.26
2024,58.4,39.68
2025,60,41.1
2026,60.94,42
2027,61.88,42.9
2028,62.82,43.8
2029,63.76,44.7
2030,64.7,45.6
2031,65.46,46.02
2032,66.22,46.44
2033,66.98,46.86
2034,67.74,47.28
2035,68.5,47.7
2036,69.76,48.2
2037,71.02,48.7
2038,72.28,49.2
2039,73.54,49.7
2040,74.8,50.2
2041,75.74,50.84
2042,76.68,51.48
2043,77.62,52.12
2044,78.56,52.76
2045,79.5,53.4
2046,80.66,53.84
2047,81.82,54.28
2048,82.98,54.72
2049,84.14,55.16
2050,85.3,55.6
