"District","Type","A24","A5P","SFA","SFD","MH"
"01_01_EP_NW","Metropolitan",0,2,0,1,0
"01_01_EP_NW","Town",0,0,0,0,0
"01_01_EP_NW","Rural",0,0,0,0,0
"02_02_WC_Ctr","Metropolitan",1,0,0,0,0
"02_02_WC_Ctr","Town",0,0,0,0,0
"02_02_WC_Ctr","Rural",0,0,0,0,0
"03_03_CP_W","Metropolitan",0,0,0,0,0
"03_03_CP_W","Town",0,0,0,0,0
"03_03_CP_W","Rural",0,0,0,0,0
"04_04_JACK","Metropolitan",0,0,0,0,0
"04_04_JACK","Town",0,0,0,0,0
"04_04_JACK","Rural",0,0,0,0,0
"05_05_WMED_NE","Metropolitan",0,1,0,9,0
"05_05_WMED_NE","Town",0,0,0,0,0
"05_05_WMED_NE","Rural",0,0,0,0,0
"06_06_EMED_NE","Metropolitan",0,0,0,0,0
"06_06_EMED_NE","Town",0,0,0,0,0
"06_06_EMED_NE","Rural",0,0,0,2,0
"07_07_PHX_Ctr","Metropolitan",1,0,0,0,0
"07_07_PHX_Ctr","Town",0,0,0,0,0
"07_07_PHX_Ctr","Rural",0,0,0,0,0
"08_08_TAL_Ctr","Metropolitan",0,0,0,1,0
"08_08_TAL_Ctr","Town",0,0,0,0,0
"08_08_TAL_Ctr","Rural",0,0,0,0,0
"09_09_ASH_N","Metropolitan",0,3,0,0,0
"09_09_ASH_N","Town",0,0,0,0,0
"09_09_ASH_N","Rural",0,0,0,0,0
"10_10_TOLO","Metropolitan",0,0,0,1,0
"10_10_TOLO","Town",0,0,0,0,0
"10_10_TOLO","Rural",0,0,0,0,0
"11_11_NMED_N","Metropolitan",0,0,0,1,0
"11_11_NMED_N","Town",0,0,0,0,0
"11_11_NMED_N","Rural",0,0,0,0,0
"09_12_ASH_Ctr","Metropolitan",1,0,0,0,0
"09_12_ASH_Ctr","Town",0,0,0,0,0
"09_12_ASH_Ctr","Rural",0,0,0,0,0
"03_13_CP_E","Metropolitan",0,0,0,0,0
"03_13_CP_E","Town",0,0,0,0,0
"03_13_CP_E","Rural",0,0,0,2,0
"05_14_WMED_SE","Metropolitan",0,0,0,0,0
"05_14_WMED_SE","Town",0,0,0,0,0
"05_14_WMED_SE","Rural",0,0,0,0,0
"05_15_WMED_E","Metropolitan",0,0,0,1,0
"05_15_WMED_E","Town",0,0,0,0,0
"05_15_WMED_E","Rural",0,0,0,0,0
"06_16_EMED_NW","Metropolitan",0,0,0,0,0
"06_16_EMED_NW","Town",0,0,0,0,0
"06_16_EMED_NW","Rural",0,0,0,0,0
"06_17_EMED_SW","Metropolitan",0,0,0,5,0
"06_17_EMED_SW","Town",0,0,0,0,0
"06_17_EMED_SW","Rural",0,0,0,0,0
"11_18_NMED_SW","Metropolitan",0,0,0,1,0
"11_18_NMED_SW","Town",0,0,0,0,0
"11_18_NMED_SW","Rural",0,0,0,0,0
"09_19_ASH_SW","Metropolitan",1,1,0,0,0
"09_19_ASH_SW","Town",0,0,0,0,0
"09_19_ASH_SW","Rural",0,0,0,0,0
"06_20_EMED_N","Metropolitan",1,0,0,2,0
"06_20_EMED_N","Town",0,0,0,0,0
"06_20_EMED_N","Rural",0,0,0,0,0
"01_21_EP_SE","Metropolitan",0,1,0,1,0
"01_21_EP_SE","Town",0,0,0,0,0
"01_21_EP_SE","Rural",0,0,0,0,0
"02_22_WC_S","Metropolitan",0,1,0,2,0
"02_22_WC_S","Town",0,0,0,0,0
"02_22_WC_S","Rural",0,0,0,0,0
"06_23_EMED_Ctr","Metropolitan",0,1,0,2,0
"06_23_EMED_Ctr","Town",0,0,0,0,0
"06_23_EMED_Ctr","Rural",0,0,0,0,0
"03_24_CP_N","Metropolitan",1,0,1,1,1
"03_24_CP_N","Town",0,0,0,0,0
"03_24_CP_N","Rural",0,0,0,0,0
"03_25_CP_S","Metropolitan",0,0,0,0,0
"03_25_CP_S","Town",0,0,0,0,0
"03_25_CP_S","Rural",0,0,0,0,0
"05_26_WMED_NW","Metropolitan",0,0,0,0,0
"05_26_WMED_NW","Town",0,0,0,0,0
"05_26_WMED_NW","Rural",0,0,0,1,0
"05_27_WMED_Ctr","Metropolitan",1,1,0,2,1
"05_27_WMED_Ctr","Town",0,0,0,0,0
"05_27_WMED_Ctr","Rural",0,0,0,0,0
"06_28_EMED_SE","Metropolitan",0,0,0,0,0
"06_28_EMED_SE","Town",0,0,0,0,0
"06_28_EMED_SE","Rural",0,0,0,0,0
"07_29_PHX_W","Metropolitan",0,0,0,0,0
"07_29_PHX_W","Town",0,0,0,0,0
"07_29_PHX_W","Rural",0,0,0,0,0
"07_30_PHX_E","Metropolitan",1,0,0,1,0
"07_30_PHX_E","Town",0,0,0,0,0
"07_30_PHX_E","Rural",0,0,0,0,0
"09_31_ASH_CtrE","Metropolitan",1,0,0,1,0
"09_31_ASH_CtrE","Town",0,0,0,0,0
"09_31_ASH_CtrE","Rural",0,0,0,0,0
"11_32_NMED_SE","Metropolitan",0,1,0,0,0
"11_32_NMED_SE","Town",0,0,0,0,0
"11_32_NMED_SE","Rural",0,0,0,0,0
"08_33_TAL_E","Metropolitan",0,0,0,1,0
"08_33_TAL_E","Town",0,0,0,0,0
"08_33_TAL_E","Rural",0,0,0,0,0
"08_34_TAL_W","Metropolitan",0,0,0,0,0
"08_34_TAL_W","Town",0,0,0,0,0
"08_34_TAL_W","Rural",0,0,0,1,0
"09_35_ASH_E","Metropolitan",0,1,1,3,0
"09_35_ASH_E","Town",0,0,0,0,0
"09_35_ASH_E","Rural",0,0,0,0,0
"09_36_ASH_NW","Metropolitan",0,0,0,0,0
"09_36_ASH_NW","Town",0,0,0,0,0
"09_36_ASH_NW","Rural",0,0,0,0,0
"05_37_WMED_SW","Metropolitan",0,2,0,1,0
"05_37_WMED_SW","Town",0,0,0,0,0
"05_37_WMED_SW","Rural",0,0,0,0,0
"05_38_WMED_ESE","Metropolitan",1,0,0,0,0
"05_38_WMED_ESE","Town",0,0,0,0,0
"05_38_WMED_ESE","Rural",0,0,0,0,0
"06_39_EMED_W","Metropolitan",0,0,0,0,0
"06_39_EMED_W","Town",0,0,0,0,0
"06_39_EMED_W","Rural",0,0,0,0,0
