Parameter,2005,2010,2035,2038,2050,CostDataYear
FuelCost,2.12,2.43,5.53,5.738,6.57,2005
KwhCost,0.073,0.08,0.204,0.2082,0.225,2005
VmtTax,0,0,0,0,0,2005
CarbonTax,0,0,0,0,0,2005
GasTax,0.424,0.424,0.484,0.484,0.484,2005
AirPollution,0.014,0.014,0.014,0.014,0.014,2005
OtherResource,0.003,0.003,0.003,0.003,0.003,2005
ClimateChange,30,30,55,58,70,2005
EnergySecurity,0.45,0.45,0.45,0.45,0.45,2005
Safety,0.005,0.005,0.005,0.005,0.005,2005
Noise,0.001,0.001,0.001,0.001,0.001,2005
BaseMod,0.004,0.004,0.004,0.004,0.004,2005
PresOpMaint,0.01,0.01,0.01,0.01,0.01,2005
OtherRoad,0.015,0.015,0.015,0.015,0.015,2005
VehMaint,0.041,0.041,0.041,0.041,0.041,2005
VehTire,0.007,0.007,0.007,0.007,0.007,2005
VehFin,725,725,725,725,725,2005
VehIns,740,740,740,740,740,2005
VehReg,39,39,39,39,39,2005
FwyLnMi,4900,4900,4900,4900,4900,2005
ArtLnMi,1800,1800,1800,1800,1800,2005
PropExtPaid,0,0,0,0,0,2005
