Year,AutoPropHev,AutoHevMpg,LtTruckPropHev,LtTruckHevMpg
1975,0,15.1,0,12.7
1976,0,16.6,0,13.2
1977,0,17.4,0,14.1
1978,0,19.2,0,13.7
1979,0,19.3,0,13.1
1980,0,22.6,0,17.1
1981,0,24.2,0,18.6
1982,0,25.6,0,19
1983,0,25.4,0,19.6
1984,0,26,0,19.3
1985,0,26.7,0,19.4
1986,0,27.7,0,20.2
1987,0,27.8,0,20.5
1988,0,28.3,0,20.2
1989,0,27.9,0,19.8
1990,0,27.5,0,19.8
1991,0,27.6,0,20.3
1992,0,27.5,0,19.9
1993,0,27.8,0,20.1
1994,0,27.7,0,19.7
1995,0,28.1,0,19.5
1996,0,28,0,19.9
1997,0,28,0,19.5
1998,0,28,0,19.8
1999,0,27.5,0,19.2
2000,0,27.3,0,19.4
2001,0,27.5,0,19.1
2002,0,27.4,0,19.1
2003,0,27.5,0,19.3
2004,0,27.6,0,19.2
2005,0,27.9,0,19.8
2006,0,27.7,0,20.2
2007,0,27.7,0,20.4
2008,0,30.9,0,23.3
2009,0,27.9,0,20
2010,0.032,29.2,0.0037,20.9
2011,0.032,31.48,0.015,21.82
2012,0.04,33.76,0.03,22.74
2013,0.05,36.04,0.0375,23.66
2014,0.075,38.32,0.05625,24.58
2015,0.1,40.6,0.075,25.5
2016,0.13,42.88,0.0975,27.2
2017,0.18,45.16,0.135,28.9
2018,0.22,47.44,0.165,30.6
2019,0.3,49.72,0.225,32.3
2020,0.407407407,52,0.305555556,34
2021,0.462962963,53.6,0.347222222,35.42
2022,0.518518519,55.2,0.388888889,36.84
2023,0.592592593,56.8,0.444444444,38.26
2024,0.648148148,58.4,0.486111111,39.68
2025,0.703703704,60,0.527777778,41.1
2026,0.722222222,60.94,0.541666667,42
2027,0.759259259,61.88,0.569444444,42.9
2028,0.777777778,62.82,0.583333333,43.8
2029,0.814814815,63.76,0.611111111,44.7
2030,0.833333333,64.7,0.625,45.6
2031,0.851851852,65.46,0.638888889,46.02
2032,0.851851852,66.22,0.638888889,46.44
2033,0.87037037,66.98,0.652777778,46.86
2034,0.888888889,67.74,0.666666667,47.28
2035,0.907407407,68.5,0.680555556,47.7
2036,0.907407407,69.76,0.680555556,48.2
2037,0.925925926,71.02,0.694444444,48.7
2038,0.925925926,72.28,0.694444444,49.2
2039,0.944444444,73.54,0.708333333,49.7
2040,0.944444444,74.8,0.708333333,50.2
2041,0.944444444,75.74,0.708333333,50.84
2042,0.962962963,76.68,0.722222222,51.48
2043,0.962962963,77.62,0.722222222,52.12
2044,0.981481481,78.56,0.736111111,52.76
2045,0.981481481,79.5,0.736111111,53.4
2046,0.981481481,80.66,0.736111111,53.84
2047,0.981481481,81.82,0.736111111,54.28
2048,1,82.98,0.75,54.72
2049,1,84.14,0.75,55.16
2050,1,85.3,0.75,55.6
