"Measure","2005","2010","2038","2050","Units"
"PopHousehold",154048,168111,247260,247260,"Population in households in MPO boundary"
"PopGroupQtr",776,1121,2000,2000,"Population in group quarters in MPO boundary"
"PopTotal",154824,169232,249260,249260,"Total population in MPO boundary"
"Households",63945,69609,102644,102644,"Households in MPO boundary"
"SFD",41006,44527,61835,61829,"Number of single-family detached housing units in MPO boundary"
"SFA",3637,3909,11149,11149,"Number of single-family attached housing units in MPO boundary"
"MH",6318,7447,7114,7118,"Number of mobile home housing units in MPO boundary"
"A24",5263,5601,10808,10809,"Number of duplex/triplex/quadplex housing units in MPO boundary"
"A5P",7721,8125,11738,11739,"Number of apartment housing units in MPO boundary"
"GQ",776,1121,2000,2000,"Number of group quarters residents in MPO boundary"
"IncomeCapHousehold",25414.0650160483,26968.0339745301,31040.0683447364,33196.5173644511,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapGroupQtr",14101.5491393892,14777.0514687007,14779.2487997741,14779.2487997741,"Average annual per capita income of MPO group quarters population in 2005 dollars"
"FuelCost",1.92189452124936,2.20292626728111,5.20180696364567,5.9560599078341,"2005 Dollars per gasoline equivalent gallon"
"FuelTax",0.384378904249872,0.384378904249872,0.438772145417307,0.438772145417307,"2005 Dollars per gasoline equivalent gallon"
"LtTruckShare",0.446560211120154,0.446806634381499,0.342017910447761,0.335813546339862,"Light truck proportion of light vehicle fleet"
"DvmtHousehold",3393991.36193851,3709515.1996524,4963288.53125796,5422730.05361547,"Total DVMT of MPO households"
"DvmtGroupQtr",9696.25906362663,17829.7629035983,20030.4464161471,24022.8920104132,"Total DVMT of MPO group quarters population"
"DvmtCommercial",306331.885890193,335461.04663004,448498.70799067,490207.76510633,"Total DVMT of commercial service vehicles"
"DvmtTotal",3710019.50689233,4062806.00918604,5431817.68566478,5936960.71073222,"Total DVMT of MPO light duty vehicle travel"
"DvmtRoad",2708314.24016223,2965848.38683522,3965226.91070964,4333981.31902698,"Total light vehicle DVMT on roads within MPO boundary"
"DvmtCapHousehold",22.0320378189818,22.0658683825116,20.0731559138476,21.9312871213115,"Average Percapita DVMT of MPO households"
"DvmtCapGroupQtr",12.4951792057044,15.9052300656542,10.0152232080735,12.0114460052066,"Average Percapita DVMT of MPO group quarters residents"
"DvmtCapRoad",17.4928579558869,17.5253402833697,15.9079953089531,17.3873919562986,"Average Percapita DVMT of light-duty vehicle travel on roads within MPO boundary"
"AutonomousDvmt",0,0,2273471.37830651,5446752.94562589,"Total household and group quarters DVMT by autonomous vehicles (both owned and car service)"
"CarServiceDvmt",0,48150.0268465608,2273459.79668564,3025757.45498545,"Total household and group quarters DVMT using car services."
"PropAutonomousDvmt",0,0,0.456216306540269,1,"Proportion of household and group quarters DVMT by autonomous vehicles"
"PropCarServiceDvmt",0,0.0129180495313056,0.456213982462496,0.555515824784258,"Proportion of household and group quarters DVMT by car services"
"Co2eHousehold",610079.411784236,650538.922166509,267533.180323355,245582.225657104,"Annual metric tons of CO2e emitted by household light-duty vehicles"
"Co2eGroupQtr",1698.47156400427,3011.23542922215,1074.69768819452,1131.8162672383,"Annual metric tons of CO2e emitted by group quarters residents' light-duty vehicles"
"Co2eCommercial",51616.6579857873,56832.5645806436,31111.7259801772,28454.5588063881,"Annual metric tons of CO2e emitted by commercial service vehicles"
"Co2eTotal",663394.541334027,710382.722176375,299719.603991726,275168.60073073,"Total annual metric tons of CO2e emitted by light-duty vehicles of MPO residents and businesses"
"Co2eRoad",484278.015197233,518579.387211382,218795.310923581,200873.078542353,"Annual metric tons of CO2e emitted by light-duty vehicles traveling on roads in the MPO area"
"Co2eCapHousehold",3.96032023644731,3.8696987238581,1.08199134645052,0.99321453392018,"Annual percapita metric tons of CO2e emitted by household light-duty vehicles"
"Co2eCapGroupQtr",2.18875201546942,2.68620466478337,0.537348844097261,0.56590813361915,"Annual percapita metric tons of CO2e emitted by group quarters residents' light-duty vehicles"
"Co2eCapRoad",3.1279260011189,3.06431045671848,0.877779470928271,0.805877712197517,"Annual percapita metric tons of CO2e emitted by light-duty vehicles traveling on roads in the MPO area"
"Co2eMileHousehold",492.473393417777,480.466670432178,147.677817380181,124.075513412349,"Household vehicle emissions rate in grams per mile"
"Co2eMileGroupQtr",479.911553534355,462.70722301056,146.995087715901,129.079649704134,"Group quarters resident emissions rate in grams per mile"
"Co2eMileCommercial",461.641467456038,464.154207916258,190.050949772003,159.029907131434,"Commercial service vehicle emissions rate in grams per mile"
"Co2eMileTotal",489.894807277855,479.041831916029,151.173998741608,126.981904391193,"Average emissions rate of all light-duty vehicles in grams per mile"
"FuelHousehold",55872989.9134206,59486111.1822177,24885802.100176,13414764.9816459,"Annual gasoline equivalent gallons of fuel consumed by MPO households"
"FuelGroupQtr",155551.363856554,275351.219481213,86657.0250495971,42872.0300848551,"Annual gasoline equivalent gallons of fuel consumed by MPO group quarters residents"
"FuelCommercial",4869530.56008056,5257163.44063103,2901875.68318444,2647845.86161448,"Annual gasoline equivalent gallons of fuel consumed by MPO fuel quarters residents"
"FuelTotal",60898071.8373577,65018625.84233,27874334.80841,16105482.8733452,"Annual gasoline equivalent gallons of fuel consumed by MPO commercial service vehicles"
"FuelEconomyHousehold",22.1718373945476,22.7611625800456,72.7965410404169,147.546115960863,"Average fuel economy (miles per gallon) of MPO household vehicles"
"FuelEconomyGroupQtr",22.7521923979235,23.6347726081432,84.3683814175395,204.523918425275,"Average fuel economy (miles per gallon) of MPO group quarters resident vehicles"
"FuelEconomyCommercial",22.9613793301814,23.2907504974331,56.4124884347051,67.5741125484976,"Average fuel economy (miles per gallon) of MPO commercial service vehicles"
"FuelEconomyTotal",22.2364531283074,22.8076827853759,71.1268437038887,134.549872019277,"Average fuel economy (miles per gallon) of al MPO light-duty vehicles"
"WalkTripsCapHousehold",98.1701744929268,105.240384549618,341.868866755706,406.750347530714,"Average annual percapita walk trips of MPO households"
"WalkTripsCapGroupQtr",374.213909289383,540.117952930153,722.560701239757,779.598346440367,"Average annual percapita walk trips of MPO group quarters residents"
"BikeTripsCapHousehold",13.4884201164589,13.1426060191631,12.4851280125039,11.9159163276686,"Average annual percapita bike trips of MPO households"
"BikeTripsCapGroupQtr",27.5185090800432,28.0693931640188,23.5409053825948,21.4282600080272,"Average annual percapita bike trips of MPO group quarters residents"
"TransitTripsCapHousehold",4.83198607261587,5.18273243122393,41.3449182061514,60.398190655514,"Average annual percapita bike trips of MPO households"
"TransitTripsCapGroupQtr",71.2832233037572,114.642637787222,206.393821983102,251.779807209186,"Average annual percapita bike trips of MPO group quarters residents"
"SovToBikeDiversion",0.039,0.039,0.05,0.05,"Target rate of diversion of SOV tours to bike tours"
"BikeDvmtCapHousehold",53.4947270506121,54.4158951187427,100.059111533091,120.592409390707,"Average annual percapita bike miles of MPO households"
"BikeDvmtCapGroupQtr",98.5567925718798,160.046867297884,137.816287461294,165.81919169141,"Average annual percapita bike miles of MPO group quarters residents"
"VehOpCostHousehold",3553.30843379974,3878.65423224078,5284.99450708143,5237.24542728214,"Average annual MPO household vehicle operating cost"
"VehOwnCostHousehold",6082.85755469286,6089.62200381429,1576.89575373726,1053.29518766067,"Average annual MPO household vehicle ownership cost"
"VehParkingCostHousehold",13.1152231048719,13.1451358076148,32.0898475490324,31.7893235873337,"Average annual MPO household parking cost"
"SocialCostHousehold",1268.46125496443,1256.04519474969,750.455143126212,744.948907382168,"Average annual MPO household social cost due to vehicle use"
"PropWkrPayPkg",0.0059,0.0059,0.0064,0.0064,"Portion of MPO household workers paying for parking"
"PropOthPayPkg",0.0038,0.0038,0.0038,0.0038,"Proportion of other MPO household trips paying for parking"
"Hydrocarbons",3074207.49400814,2582759.636869,591301.643811447,308622.079651504,"Daily kilograms of hydrocarbons emitted by MPO residents"
"CarbonMonoxide",35676081.822809,30901470.9272748,11191316.7465728,6105617.43903146,"Daily kilograms of Carbon Monoxide emitted by MPO residents"
"NitrogenOxides",4365260.89229348,3561094.15807305,553306.357462117,301587.958177965,"Daily kilograms of Nitrogen Oxides emitted by MPO residents"
"PM25",80978.5957808506,72267.8390258848,32332.5273261125,18112.8627943618,"Daily kilograms of PM 2.5 emitted by MPO residents"
"LtVehDelay",7773.19095726075,9111.35262502736,15029.3548954058,14195.5244551448,"Daily hours of light-duty vehicle delay on MPO area roads"
"LtVehDelayCap",18.3254191817817,19.6513880834298,22.0080018327173,20.786995210334,"Annual percapita hours of light-duty vehicle delay on MPO area roads"
"TruckDelay",352.54431671165,380.074925394577,669.341227704723,632.595895710356,"Daily hours of truck delay on MPO area roads"
"TransitRevMiCap",4.48929902395724,4.00911515688356,16.1253888413858,22.690273938857,"Annual transit revenue miles per capita"
"UrbanizedLand",27047.8472833,27047.8472833,37795.0865868,37795.0865868,"Acres of urbanized land (land designated at metropolitan or town)"
"MixedUsePopProp",0.0875704025215729,0.0967724780183417,0.128753109203242,0.12865281232448,"Proportion of MPO population living in mixed-use neighborhoods"
"ResWaterCap",177.254503420381,167.326525391212,166.286940806387,166.20374054893,"Average percapita water use of MPO residents"
"ICE",126563,136052,11525,3253,"Number of household internal combustion engine vehicles"
"HEV",0,27,28370,21966,"Number of household hybrid-electric vehicles"
"PHEV",0,0,1850,1863,"Number of household plugin hybrid-electric vehicles"
"EV",0,0,130,335,"Number of household electric vehicles"
"Pct_DvmtCommercial",8.25688073394495,8.25688073394495,8.25688073394496,8.25688073394495,"Percentage of commercial DVMT over the total DVMT"
"HTruckDvmt",130824.83793981,129412.581500724,174355.329149123,192461.180932274,"Total heavy truck DVMT on roads within MPO boundary"
"AverageSpeed_ltVeh",27.6869290149429,27.6140922560612,27.3627629457146,28.0907090811177,"Average speed of light vehicle"
"AverageSpeed_Htruck",32.2756741231509,32.0253853732173,31.1262205119368,31.6704445028331,"Average speed of heavy Truck"
